,date_time,tweet_id,author_id,tweet_text,account,cleaned_text,hashtags
36,2021-05-11T04:15:24.000Z,1391970169472393221,14216661,Munk Debate: Can we stop people from dying of old age? https://t.co/5gBWRGIIXs,nationalpost,Munk Debate: Can we stop people from dying of old age?,[]
37,2021-05-06T13:28:19.000Z,1390297373960667136,14216661,Opinion: The budget's Old Age Security increase is bad policy https://t.co/iPHyUMU0V8,nationalpost,Opinion: The budget's Old Age Security increase is bad policy,[]
38,2021-05-02T14:00:27.000Z,1388855910668328960,14216661,"Some older adults are using cannabis to self-treat without first seeking medical advice. https://t.co/FgimHmUzVA

— via @TheGrowthOp",nationalpost,Some older adults are using cannabis to self-treat without first seeking medical advice. via,[]
39,2021-03-29T13:47:55.000Z,1376531569968619526,14216661,"A growing number of more seniors may be using medical cannabis. https://t.co/X7rUC5HNAo

— via @TheGrowthOp",nationalpost,A growing number of more seniors may be using medical cannabis. via,[]
40,2021-03-28T19:59:55.000Z,1376262800348168192,14216661,Some young people to get COVID vaccine months early thanks to program for apartment-dwelling seniors https://t.co/yUswpdfKTh,nationalpost,Some young people to get COVID vaccine months early thanks to program for apartment-dwelling seniors,[]
41,2021-03-27T12:34:40.000Z,1375788360778797058,14216661,Some young people to get COVID vaccine months early thanks to program for apartment-dwelling seniors https://t.co/JNpDZ3myRL,nationalpost,Some young people to get COVID vaccine months early thanks to program for apartment-dwelling seniors,[]
42,2021-03-25T17:42:24.000Z,1375141028727029762,14216661,Elderly Asian woman who fought back against attacker donates $1 million raised to charity https://t.co/VYBPKk9WIr,nationalpost,Elderly Asian woman who fought back against attacker donates $1 million raised to charity,[]
43,2021-03-24T00:04:48.000Z,1374512485772845061,14216661,"COVID-19 in seniors doesn't always have the telltale respiratory signs. https://t.co/5B4rpzGTCO

— via @healthing_ca",nationalpost,COVID-19 in seniors doesn't always have the telltale respiratory signs. via,[]
44,2021-03-17T14:00:24.000Z,1372186056670515205,14216661,"Several European countries also reversed the recommendation against using the vaccine on seniors. https://t.co/i7XElxpPih

— via @healthing_ca",nationalpost,Several European countries also reversed the recommendation against using the vaccine on seniors. via,[]
45,2021-03-17T01:49:52.000Z,1372002211140677637,14216661,"AstraZeneca vaccine now recommended for use on seniors, Canadian committee says https://t.co/xM6uWDtw1z",nationalpost,"AstraZeneca vaccine now recommended for use on seniors, Canadian committee says",[]
46,2021-03-03T20:00:53.000Z,1367203344910061571,14216661,"While vaccinating the elderly is still a priority, other groups are moving up in line.  https://t.co/ROXLtOqx5H

— via @healthing_ca",nationalpost,"While vaccinating the elderly is still a priority, other groups are moving up in line. via",[]
47,2021-03-02T04:21:29.000Z,1366604548639490050,14216661,"Canada shouldn't use AstraZeneca COVID vaccine on seniors, national panel advises https://t.co/bPSJjio0XB",nationalpost,"Canada shouldn't use AstraZeneca COVID vaccine on seniors, national panel advises",[]
48,2021-03-02T00:30:44.000Z,1366546480396464134,14216661,Montreal opens Olympic Stadium to elderly for COVID vaccinations as Canada plays catch-up https://t.co/abr9S4FlhN,nationalpost,Montreal opens Olympic Stadium to elderly for COVID vaccinations as Canada plays catch-up,[]
49,2021-02-26T18:13:25.000Z,1365364359598395394,14216661,"Bad Driver of the Week: Sorry, no senior's discount on stunt driving charges https://t.co/xGDJhwAfXd — via @drivingdotca

#autonews",nationalpost,"Bad Driver of the Week: Sorry, no senior's discount on stunt driving charges via autonews",['autonews']
50,2021-02-24T22:01:50.000Z,1364697067180982273,14216661,"Alberta seniors rush to book COVID-19 vaccines, while Ontario develops plan to immunize elderly https://t.co/DCyqNnOhsw",nationalpost,"Alberta seniors rush to book COVID-19 vaccines, while Ontario develops plan to immunize elderly",[]
51,2021-02-11T15:30:12.000Z,1359887467206356995,14216661,Pain relief offered by cannabis may have contributed to the reduction in blood pressure. https://t.co/cEjs135SBx — via @TheGrowthOp,nationalpost,Pain relief offered by cannabis may have contributed to the reduction in blood pressure. via,[]
52,2021-01-31T20:00:29.000Z,1355969219012263937,14216661,"#ICYMI: Should seniors take driver's license renewal tests under lockdown? https://t.co/RciaVTam4d — via @drivingdotca

#lockdown #driving #pandemic",nationalpost,ICYMI: Should seniors take driver's license renewal tests under lockdown? via lockdown driving pandemic,"['ICYMI', 'lockdown', 'driving', 'pandemic']"
53,2021-01-26T17:01:20.000Z,1354112195660021762,14216661,"Should seniors take driver's license renewal tests under lockdown? https://t.co/zPy7jMQbbx — via @drivingdotca

#lockdown #driving #pandemic",nationalpost,Should seniors take driver's license renewal tests under lockdown? via lockdown driving pandemic,"['lockdown', 'driving', 'pandemic']"
54,2021-01-25T23:35:23.000Z,1353848972901834753,14216661,"Due to shortage, Ontario pauses vaccination of essential workers to focus on seniors https://t.co/5A10gZ6z89",nationalpost,"Due to shortage, Ontario pauses vaccination of essential workers to focus on seniors",[]
55,2021-01-12T20:56:53.000Z,1349098044831182848,14216661,Watch: Nomadic Inuit elder explains what it's like to live off the land https://t.co/7D3twi7ddx Video by @ArcticFocus https://t.co/Vzn4uyTFuJ,nationalpost,Watch: Nomadic Inuit elder explains what it's like to live off the land Video by,[]
56,2020-12-30T22:16:12.000Z,1344406961526333440,14216661,Prince Charles has been talking to Canada’s Aboriginal elders about threats to the planet https://t.co/VWR0WIO0ap — via @Telegraph,nationalpost,Prince Charles has been talking to Canadas Aboriginal elders about threats to the planet via,[]
57,2020-12-17T04:36:03.000Z,1339429124578959360,14216661,Video: Nomadic Inuit elder on what it's like to live off the land https://t.co/hxJDGF7eux,nationalpost,Video: Nomadic Inuit elder on what it's like to live off the land,[]
58,2020-12-11T15:06:57.000Z,1337413569378398211,14216661,One of the vaccines ordered by Canada fails to protect older adults from COVID-19 https://t.co/DFnFa9SBFq,nationalpost,One of the vaccines ordered by Canada fails to protect older adults from COVID-19,[]
59,2020-11-17T22:35:28.000Z,1328829134508855296,14216661,Older adults increasingly chose to manage their mental health by themselves. https://t.co/M8GamDCO8E — via @healthing_ca,nationalpost,Older adults increasingly chose to manage their mental health by themselves. via,[]
60,2020-10-21T14:45:37.000Z,1318926419456675840,14216661,Old-age is the next global economic threat https://t.co/Sb6wfkD09p,nationalpost,Old-age is the next global economic threat,[]
61,2020-10-20T15:25:00.000Z,1318573941498253312,14216661,"The retirement downsizing myth: No, seniors aren't moving in droves — and that will affect the housing market https://t.co/6LE82vavKl",nationalpost,"The retirement downsizing myth: No, seniors aren't moving in droves and that will affect the housing market",[]
62,2020-10-16T11:57:31.000Z,1317072176047161349,14216661,Vivian Bercovici: COVID is no excuse to impose cruel and inhumane measures on the elderly https://t.co/scCjSC5Y3v,nationalpost,Vivian Bercovici: COVID is no excuse to impose cruel and inhumane measures on the elderly,[]
63,2020-10-15T18:05:26.000Z,1316802379199676418,14216661,"Ontario will end teacher hiring rules based on seniority, says education minister https://t.co/Brj8Mcwsqq",nationalpost,"Ontario will end teacher hiring rules based on seniority, says education minister",[]
64,2020-10-15T17:32:11.000Z,1316794011307380736,14216661,"Ontario will end teacher hiring rules based on seniority, says education minister https://t.co/00yqTEsEd5",nationalpost,"Ontario will end teacher hiring rules based on seniority, says education minister",[]
65,2020-10-01T15:09:43.000Z,1311684727028543489,14216661,Bank holding B.C. senior's lottery winnings 'hostage' despite proof he is of sound mind https://t.co/KP7h6o85gx,nationalpost,Bank holding B.C. senior's lottery winnings 'hostage' despite proof he is of sound mind,[]
66,2020-09-06T13:00:33.000Z,1302592526088536064,14216661,"“The Baby Boom is a generation of aging weekend warriors, and we’re all looking for relief so that we can stay in the game.” Via: @TheGrowthOp 

https://t.co/7TbZ0m6JlB",nationalpost,"The Baby Boom is a generation of aging weekend warriors, and were all looking for relief so that we can stay in the game. Via:",[]
